STATE/UT,DISTRICT,YEAR,MURDER,RAPE,THEFT
ANDHRA PRADESH,ADILABAD,2001,101,50,199
ANDHRA PRADESH,ANANTAPUR,2001,151,23,366
ANDHRA PRADESH,CHITTOOR,2001,101,27,723
ANDHRA PRADESH,CUDDAPAH,2001,80,20,173
ANDHRA PRADESH,EAST GODAVARI,2001,82,23,1021
ANDHRA PRADESH,GUNTAKAL RLY.,2001,3,0,162
ANDHRA PRADESH,GUNTUR,2001,182,54,1122
ANDHRA PRADESH,HYDERABAD CITY,2001,111,37,2792
ANDHRA PRADESH,KARIMNAGAR,2001,162,56,392
ANDHRA PRADESH,KHAMMAM,2001,93,47,368
ANDHRA PRADESH,KRISHNA,2001,65,37,478
ANDHRA PRADESH,KURNOOL,2001,133,29,297
ANDHRA PRADESH,MAHABOOBNAGAR,2001,157,59,316
ANDHRA PRADESH,MEDAK,2001,101,35,286
ANDHRA PRADESH,NALGONDA,2001,122,35,318
ANDHRA PRADESH,NELLORE,2001,89,46,608
ANDHRA PRADESH,NIZAMABAD,2001,106,21,234
ANDHRA PRADESH,PRAKASHAM,2001,102,19,278
ANDHRA PRADESH,RANGA REDDY,2001,214,72,1296
ANDHRA PRADESH,SECUNDERABAD RLY.,2001,6,0,296
ANDHRA PRADESH,SRIKAKULAM,2001,38,8,231
ANDHRA PRADESH,VIJAYAWADA,2001,53,25,2057
ANDHRA PRADESH,VIJAYAWADA RLY.,2001,2,1,265
ANDHRA PRADESH,VISAKHA RURAL,2001,58,12,165
ANDHRA PRADESH,VISAKHAPATNAM,2001,22,13,630
ANDHRA PRADESH,VIZIANAGARAM,2001,33,8,144
ANDHRA PRADESH,WARANGAL,2001,158,53,418
ANDHRA PRADESH,WEST GODAVARI,2001,77,61,1116
ANDHRA PRADESH,TOTAL,2001,2602,871,16751
ARUNACHAL PRADESH,CHANGLANG,2001,11,1,24
ARUNACHAL PRADESH,DIBANG VALLEY,2001,3,2,19
ARUNACHAL PRADESH,KAMENG EAST,2001,3,2,26
ARUNACHAL PRADESH,KAMENG WEST,2001,4,0,26
ARUNACHAL PRADESH,LOHIT,2001,16,2,31
ARUNACHAL PRADESH,PAPUM PARE,2001,11,9,109
ARUNACHAL PRADESH,SIANG EAST,2001,7,5,52
ARUNACHAL PRADESH,SIANG UPPER,2001,1,2,9
ARUNACHAL PRADESH,SIANG WEST,2001,5,4,72
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,8,2,25
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,4,2,20
ARUNACHAL PRADESH,TAWANG,2001,2,1,13
ARUNACHAL PRADESH,TIRAP,2001,8,1,17
ARUNACHAL PRADESH,TOTAL,2001,83,33,443
ASSAM,BARPETA,2001,64,28,187
ASSAM,BONGAIGAON,2001,45,20,92
ASSAM,C.I.D.,2001,0,0,1
ASSAM,CACHAR,2001,52,45,359
ASSAM,DARRANG,2001,61,48,185
ASSAM,DHEMAJI,2001,15,42,79
ASSAM,DHUBRI,2001,65,43,83
ASSAM,DIBRUGARH,2001,110,35,325
ASSAM,G.R.P.,2001,13,1,135
ASSAM,GOALPARA,2001,28,35,116
ASSAM,GOLAGHAT,2001,53,30,211
ASSAM,GUWAHATI CITY,2001,71,37,736
ASSAM,HAILAKANDI,2001,18,24,92
ASSAM,JORHAT,2001,40,42,230
ASSAM,KAMRUP,2001,37,21,275
ASSAM,KARBI ANGLONG,2001,65,5,79
ASSAM,KARIMGANJ,2001,32,33,114
ASSAM,KOKRAJHAR,2001,87,14,89
ASSAM,LAKHIMPUR,2001,26,64,195
ASSAM,MORIGAON,2001,20,23,66
ASSAM,N.C.HILLS,2001,17,2,30
ASSAM,NAGAON,2001,95,51,491
ASSAM,NALBARI,2001,79,30,119
ASSAM,R.P.O.,2001,11,3,29
ASSAM,SIBSAGAR,2001,59,47,343
ASSAM,SONITPUR,2001,86,53,356
ASSAM,TINSUKIA,2001,107,41,350
ASSAM,TOTAL,2001,1356,817,5367
BIHAR,ARARIA,2001,47,93,161
BIHAR,ARWAL,2001,37,0,24
BIHAR,AURANGABAD,2001,74,16,103
BIHAR,BAGAHA,2001,34,25,115
BIHAR,BANKA,2001,93,34,73
BIHAR,BEGUSARAI,2001,124,13,265
BIHAR,BETTIAH,2001,66,20,265
BIHAR,BHABHUA,2001,41,10,184
BIHAR,BHAGALPUR,2001,128,35,370
BIHAR,BHOJPUR,2001,135,22,214
BIHAR,BUXAR,2001,56,8,179
BIHAR,DARBHANGA,2001,53,19,103
BIHAR,GAYA,2001,200,25,416
BIHAR,GOPALGANJ,2001,107,13,153
BIHAR,JAMALPUR RLY.,2001,7,1,117
BIHAR,JAMUI,2001,67,10,81
BIHAR,JEHANABAD,2001,73,6,121
BIHAR,KATIHAR,2001,60,51,146
BIHAR,KATIHAR RLY.,2001,7,0,221
BIHAR,KHAGARIA,2001,72,5,86
BIHAR,KISHANGANJ,2001,25,22,57
BIHAR,LAKHISARAI,2001,61,10,79
BIHAR,MADHEPURA,2001,56,11,69
BIHAR,MADHUBANI,2001,35,13,98
BIHAR,MOTIHARI,2001,114,44,271
BIHAR,MUNGER,2001,51,11,157
BIHAR,MUZAFFARPUR,2001,153,73,538
BIHAR,MUZAFFARPUR RLY.,2001,13,2,313
BIHAR,NALANDA,2001,208,40,412
BIHAR,NAUGACHIA,2001,36,7,32
BIHAR,NAWADAH,2001,77,15,66
BIHAR,PATNA,2001,434,27,1568
BIHAR,PATNA RLY.,2001,24,1,811
BIHAR,PURNEA,2001,104,39,227
BIHAR,ROHTAS,2001,127,25,317
BIHAR,SAHARSA,2001,36,12,56
BIHAR,SAMASTIPUR,2001,107,19,247
BIHAR,SARAN,2001,137,20,246
BIHAR,SHEIKHPURA,2001,28,3,89
BIHAR,SHEOHAR,2001,18,11,16
BIHAR,SITAMARHI,2001,51,23,132
BIHAR,SIWAN,2001,116,4,112
BIHAR,SUPAUL,2001,41,30,129
BIHAR,VAISHALI,2001,110,20,262
BIHAR,TOTAL,2001,3643,888,9701
CHHATTISGARH,BALRAMPUR,2001,13,17,21
CHHATTISGARH,BILASPUR,2001,99,69,690
CHHATTISGARH,BIZAPUR,2001,9,4,3
CHHATTISGARH,DANTEWARA,2001,83,19,64
CHHATTISGARH,DHAMTARI,2001,14,22,110
CHHATTISGARH,DURG,2001,76,144,893
CHHATTISGARH,GRP RAIPUR,2001,2,0,197
CHHATTISGARH,JAGDALPUR,2001,80,59,172
CHHATTISGARH,JANJGIR,2001,48,29,237
CHHATTISGARH,JASHPUR,2001,37,36,54
CHHATTISGARH,KANKER,2001,31,42,53
CHHATTISGARH,KAWARDHA,2001,19,35,43
CHHATTISGARH,KORBA,2001,33,46,305
CHHATTISGARH,KORIYA,2001,35,34,153
CHHATTISGARH,MAHASAMUND,2001,18,43,146
CHHATTISGARH,RAIGARH,2001,50,53,173
CHHATTISGARH,RAIPUR,2001,92,104,953
CHHATTISGARH,RAJNANDGAON,2001,36,58,231
