city,lat,lng,admin,population
Mumbai,18.987807,72.836447,Mahārāshtra,18978000
Delhi,28.651952,77.231495,Delhi,15926000
Kolkata,22.562627,88.363044,West Bengal,14787000
Chennai,13.084622,80.248357,Tamil Nādu ,7163000
Bengalūru,12.977063,77.587106,Karnātaka,6787000
Hyderabad,17.384052,78.456355,Andhra Pradesh,6376000
Ahmadābād,23.025793,72.587265,Gujarāt,5375000
Hāora,22.576882,88.318566,West Bengal,4841638
Pune,18.513271,73.849852,Mahārāshtra,4672000
Sūrat,21.195944,72.830232,Gujarāt,3842000
Mardānpur,26.430066,80.267176,Uttar Pradesh,3162000
Rāmpura,26.884682,75.789336,Rājasthān,2917000
Lucknow,26.839281,80.923133,Uttar Pradesh,2695000
Nāra,21.203096,79.089284,Mahārāshtra,2454000
Patna,25.615379,85.101027,Bihār,2158000
Indore,22.717736,75.85859,Madhya Pradesh,2026000
Vadodara,22.299405,73.208119,Gujarāt,1756000
Bhopal,23.254688,77.402892,Madhya Pradesh,1727000
Coimbatore,11.005547,76.966122,Tamil Nādu ,1696000
Ludhiāna,30.912042,75.853789,Punjab,1649000
Āgra,27.187935,78.003944,Uttar Pradesh,1592000
Kalyān,19.243703,73.135537,Mahārāshtra,1576614
Vishākhapatnam,17.704052,83.297663,Andhra Pradesh,1529000
Kochi,9.947743,76.253802,Kerala,1519000
Nāsik,19.999963,73.776887,Mahārāshtra,1473000
Meerut,28.980018,77.706356,Uttar Pradesh,1398000
Farīdābād,28.411236,77.313162,Haryāna,1394000
Vārānasi,25.31774,83.005811,Uttar Pradesh,1352000
Ghāziābād,28.665353,77.439148,Uttar Pradesh,1341000
Āsansol,23.683333,86.983333,West Bengal,1328000
Jamshedpur,22.802776,86.185448,Jharkhand,1300000
Madurai,9.917347,78.119622,Tamil Nādu ,1294000
Jabalpur,23.174495,79.935903,Madhya Pradesh,1285000
Rājkot,22.291606,70.793217,Gujarāt,1260000
Dhanbād,23.801988,86.443244,Jharkhand,1246000
Amritsar,31.622337,74.875335,Punjab,1212000
Warangal,17.978423,79.600209,Andhra Pradesh,1203853
Allahābād,25.44478,81.843217,Uttar Pradesh,1201000
Srīnagar,34.085652,74.805553,Jammu and Kashmīr,1140000
Aurangābād,19.880943,75.346739,Mahārāshtra,1113000
Bhilai,21.209188,81.428497,Chhattīsgarh,1097000
Solāpur,17.671523,75.910437,Mahārāshtra,1057000
Ranchi,23.347768,85.338564,Jharkhand,1044000
Jodhpur,26.26841,73.005943,Rājasthān,995000
Guwāhāti,26.176076,91.762932,Assam,983000
Chandigarh,30.736292,76.788398,Chandīgarh,979000
Gwalior,26.229825,78.173369,Madhya Pradesh,978000
Thiruvananthapuram,8.485498,76.949238,Kerala,954000
Tiruchchirāppalli,10.815499,78.696513,Tamil Nādu ,951000
Hubli,15.349955,75.138619,Karnātaka,890000
Mysore,12.292664,76.638543,Karnātaka,887000
Raipur,21.233333,81.633333,Chhattīsgarh,875000
Salem,11.651165,78.158672,Tamil Nādu ,873000
Bhubaneshwar,20.272411,85.833853,Odisha,844000
Kota,25.182544,75.839065,Rājasthān,827000
Jhānsi,25.458872,78.579943,Uttar Pradesh,826494
