STATE/UT,DISTRICT,YEAR,KIDNAPPING & ABDUCTION
WEST BENGAL,24 PARGANAS NORTH,2001,81
WEST BENGAL,24 PARGANAS NORTH,2002,91
WEST BENGAL,24 PARGANAS NORTH,2003,119
WEST BENGAL,24 PARGANAS NORTH,2004,180
WEST BENGAL,24 PARGANAS NORTH,2005,211
WEST BENGAL,24 PARGANAS NORTH,2006,186
WEST BENGAL,24 PARGANAS NORTH,2007,236
WEST BENGAL,24 PARGANAS NORTH,2008,317
WEST BENGAL,24 PARGANAS NORTH,2009,368
WEST BENGAL,24 PARGANAS NORTH,2010,438
WEST BENGAL,24 PARGANAS NORTH,2011,587
WEST BENGAL,24 PARGANAS NORTH,2012,497
WEST BENGAL,24 PARGANAS SOUTH,2001,53
WEST BENGAL,24 PARGANAS SOUTH,2002,67
WEST BENGAL,24 PARGANAS SOUTH,2003,81
WEST BENGAL,24 PARGANAS SOUTH,2004,103
WEST BENGAL,24 PARGANAS SOUTH,2005,118
WEST BENGAL,24 PARGANAS SOUTH,2006,155
WEST BENGAL,24 PARGANAS SOUTH,2007,241
WEST BENGAL,24 PARGANAS SOUTH,2008,280
WEST BENGAL,24 PARGANAS SOUTH,2009,128
WEST BENGAL,24 PARGANAS SOUTH,2010,215
WEST BENGAL,24 PARGANAS SOUTH,2011,349
WEST BENGAL,24 PARGANAS SOUTH,2012,419
A & N ISLANDS,A and N ISLANDS,2007,12
ANDHRA PRADESH,ADILABAD,2001,46
ANDHRA PRADESH,ADILABAD,2002,42
ANDHRA PRADESH,ADILABAD,2003,46
ANDHRA PRADESH,ADILABAD,2004,48
ANDHRA PRADESH,ADILABAD,2005,65
ANDHRA PRADESH,ADILABAD,2006,96
ANDHRA PRADESH,ADILABAD,2007,83
ANDHRA PRADESH,ADILABAD,2008,41
ANDHRA PRADESH,ADILABAD,2009,73
ANDHRA PRADESH,ADILABAD,2010,55
ANDHRA PRADESH,ADILABAD,2011,77
ANDHRA PRADESH,ADILABAD,2012,82
UTTAR PRADESH,AGRA,2001,203
UTTAR PRADESH,AGRA,2002,139
UTTAR PRADESH,AGRA,2003,99
UTTAR PRADESH,AGRA,2004,156
UTTAR PRADESH,AGRA,2005,120
UTTAR PRADESH,AGRA,2006,175
UTTAR PRADESH,AGRA,2007,209
UTTAR PRADESH,AGRA,2008,229
UTTAR PRADESH,AGRA,2009,243
UTTAR PRADESH,AGRA,2010,252
UTTAR PRADESH,AGRA,2011,395
UTTAR PRADESH,AGRA,2012,321
GUJARAT,AHMEDABAD COMMR.,2001,143
GUJARAT,AHMEDABAD COMMR.,2002,153
GUJARAT,AHMEDABAD COMMR.,2003,157
GUJARAT,AHMEDABAD COMMR.,2004,215
GUJARAT,AHMEDABAD COMMR.,2005,219
GUJARAT,AHMEDABAD COMMR.,2006,182
GUJARAT,AHMEDABAD COMMR.,2007,213
GUJARAT,AHMEDABAD COMMR.,2008,172
GUJARAT,AHMEDABAD COMMR.,2009,181
GUJARAT,AHMEDABAD COMMR.,2010,207
GUJARAT,AHMEDABAD COMMR.,2011,230
GUJARAT,AHMEDABAD COMMR.,2012,229
GUJARAT,AHMEDABAD RURAL,2001,27
GUJARAT,AHMEDABAD RURAL,2002,13
GUJARAT,AHMEDABAD RURAL,2003,18
GUJARAT,AHMEDABAD RURAL,2004,32
GUJARAT,AHMEDABAD RURAL,2005,29
GUJARAT,AHMEDABAD RURAL,2006,28
GUJARAT,AHMEDABAD RURAL,2007,48
GUJARAT,AHMEDABAD RURAL,2008,36
GUJARAT,AHMEDABAD RURAL,2009,50
GUJARAT,AHMEDABAD RURAL,2010,44
GUJARAT,AHMEDABAD RURAL,2011,74
GUJARAT,AHMEDABAD RURAL,2012,67
MAHARASHTRA,AHMEDNAGAR,2001,37
MAHARASHTRA,AHMEDNAGAR,2002,27
MAHARASHTRA,AHMEDNAGAR,2003,27
MAHARASHTRA,AHMEDNAGAR,2004,25
MAHARASHTRA,AHMEDNAGAR,2005,33
MAHARASHTRA,AHMEDNAGAR,2006,36
MAHARASHTRA,AHMEDNAGAR,2007,37
MAHARASHTRA,AHMEDNAGAR,2008,51
MAHARASHTRA,AHMEDNAGAR,2009,42
MAHARASHTRA,AHMEDNAGAR,2010,58
MAHARASHTRA,AHMEDNAGAR,2011,82
MAHARASHTRA,AHMEDNAGAR,2012,59
GUJARAT,AHWA-DANG,2001,2
GUJARAT,AHWA-DANG,2002,1
GUJARAT,AHWA-DANG,2003,0
GUJARAT,AHWA-DANG,2004,0
GUJARAT,AHWA-DANG,2005,0
GUJARAT,AHWA-DANG,2006,0
GUJARAT,AHWA-DANG,2007,0
GUJARAT,AHWA-DANG,2008,2
GUJARAT,AHWA-DANG,2009,0
GUJARAT,AHWA-DANG,2010,0
GUJARAT,AHWA-DANG,2011,0
GUJARAT,AHWA-DANG,2012,1
MIZORAM,AIZAWL,2001,0
MIZORAM,AIZAWL,2002,4
MIZORAM,AIZAWL,2003,4
MIZORAM,AIZAWL,2004,6
MIZORAM,AIZAWL,2005,5
MIZORAM,AIZAWL,2006,2
MIZORAM,AIZAWL,2007,3
MIZORAM,AIZAWL,2008,1
MIZORAM,AIZAWL,2009,7
MIZORAM,AIZAWL,2010,3
MIZORAM,AIZAWL,2011,1
MIZORAM,AIZAWL,2012,2
RAJASTHAN,AJMER,2001,133
RAJASTHAN,AJMER,2002,124
RAJASTHAN,AJMER,2003,100
RAJASTHAN,AJMER,2004,101
RAJASTHAN,AJMER,2005,89
RAJASTHAN,AJMER,2006,90
RAJASTHAN,AJMER,2007,89
RAJASTHAN,AJMER,2008,102
RAJASTHAN,AJMER,2009,93
RAJASTHAN,AJMER,2010,105
RAJASTHAN,AJMER,2011,123
RAJASTHAN,AJMER,2012,107
MAHARASHTRA,AKOLA,2001,15
MAHARASHTRA,AKOLA,2002,21
MAHARASHTRA,AKOLA,2003,29
MAHARASHTRA,AKOLA,2004,23
MAHARASHTRA,AKOLA,2005,24
MAHARASHTRA,AKOLA,2006,28
MAHARASHTRA,AKOLA,2007,17
MAHARASHTRA,AKOLA,2008,35
MAHARASHTRA,AKOLA,2009,33
MAHARASHTRA,AKOLA,2010,25
MAHARASHTRA,AKOLA,2011,40
MAHARASHTRA,AKOLA,2012,22
KERALA,ALAPUZHA,2001,8
KERALA,ALAPUZHA,2002,14
KERALA,ALAPUZHA,2003,12
KERALA,ALAPUZHA,2004,11
KERALA,ALAPUZHA,2005,18
KERALA,ALAPUZHA,2006,18
KERALA,ALAPUZHA,2007,16
KERALA,ALAPUZHA,2008,20
KERALA,ALAPUZHA,2009,14
KERALA,ALAPUZHA,2010,21
KERALA,ALAPUZHA,2011,15
KERALA,ALAPUZHA,2012,18
UTTAR PRADESH,ALIGARH,2001,123
UTTAR PRADESH,ALIGARH,2002,112
UTTAR PRADESH,ALIGARH,2003,92
UTTAR PRADESH,ALIGARH,2004,128
UTTAR PRADESH,ALIGARH,2005,112
UTTAR PRADESH,ALIGARH,2006,122
UTTAR PRADESH,ALIGARH,2007,147
UTTAR PRADESH,ALIGARH,2008,162
UTTAR PRADESH,ALIGARH,2009,244
UTTAR PRADESH,ALIGARH,2010,274
UTTAR PRADESH,ALIGARH,2011,320
UTTAR PRADESH,ALIGARH,2012,298
MADHYA PRADESH,ALIRAJPUR,2008,14
MADHYA PRADESH,ALIRAJPUR,2009,10
MADHYA PRADESH,ALIRAJPUR,2010,7
MADHYA PRADESH,ALIRAJPUR,2011,19
MADHYA PRADESH,ALIRAJPUR,2012,13
UTTAR PRADESH,ALLAHABAD,2001,96
UTTAR PRADESH,ALLAHABAD,2002,80
UTTAR PRADESH,ALLAHABAD,2003,57
UTTAR PRADESH,ALLAHABAD,2004,79
UTTAR PRADESH,ALLAHABAD,2005,67
UTTAR PRADESH,ALLAHABAD,2006,75
UTTAR PRADESH,ALLAHABAD,2007,100
UTTAR PRADESH,ALLAHABAD,2008,144
UTTAR PRADESH,ALLAHABAD,2009,148
UTTAR PRADESH,ALLAHABAD,2010,136
UTTAR PRADESH,ALLAHABAD,2011,220
UTTAR PRADESH,ALLAHABAD,2012,223
UTTARAKHAND,ALMORA,2001,1
UTTARAKHAND,ALMORA,2002,2
UTTARAKHAND,ALMORA,2003,1
UTTARAKHAND,ALMORA,2004,5
UTTARAKHAND,ALMORA,2005,6
UTTARAKHAND,ALMORA,2006,5
UTTARAKHAND,ALMORA,2007,0
UTTARAKHAND,ALMORA,2008,7
UTTARAKHAND,ALMORA,2009,5
UTTARAKHAND,ALMORA,2010,5
UTTARAKHAND,ALMORA,2011,2
UTTARAKHAND,ALMORA,2012,0
RAJASTHAN,ALWAR,2001,119
RAJASTHAN,ALWAR,2002,121
RAJASTHAN,ALWAR,2003,81
RAJASTHAN,ALWAR,2004,86
RAJASTHAN,ALWAR,2005,86
RAJASTHAN,ALWAR,2006,102
RAJASTHAN,ALWAR,2007,109
RAJASTHAN,ALWAR,2008,142
RAJASTHAN,ALWAR,2009,184
RAJASTHAN,ALWAR,2010,164
RAJASTHAN,ALWAR,2011,161
RAJASTHAN,ALWAR,2012,243
HARYANA,AMBALA,2001,38
HARYANA,AMBALA,2002,21
HARYANA,AMBALA,2003,26
HARYANA,AMBALA,2004,22
HARYANA,AMBALA,2005,24
HARYANA,AMBALA,2006,22
HARYANA,AMBALA,2007,15
HARYANA,AMBALA,2008,55
HARYANA,AMBALA,2009,20
HARYANA,AMBALA,2010,33
HARYANA,AMBALA,2011,34
HARYANA,AMBALA RURAL,2012,28
HARYANA,AMBALA URBAN,2012,75
UTTAR PRADESH,AMBEDKAR NAGAR,2001,29
UTTAR PRADESH,AMBEDKAR NAGAR,2002,35
UTTAR PRADESH,AMBEDKAR NAGAR,2003,15
UTTAR PRADESH,AMBEDKAR NAGAR,2004,28
UTTAR PRADESH,AMBEDKAR NAGAR,2005,32
UTTAR PRADESH,AMBEDKAR NAGAR,2006,48
UTTAR PRADESH,AMBEDKAR NAGAR,2007,33
UTTAR PRADESH,AMBEDKAR NAGAR,2008,51
UTTAR PRADESH,AMBEDKAR NAGAR,2009,56
UTTAR PRADESH,AMBEDKAR NAGAR,2010,57
UTTAR PRADESH,AMBEDKAR NAGAR,2011,80
UTTAR PRADESH,AMBEDKAR NAGAR,2012,69
MAHARASHTRA,AMRAVATI COMMR.,2001,27
MAHARASHTRA,AMRAVATI COMMR.,2002,12
MAHARASHTRA,AMRAVATI COMMR.,2003,15
MAHARASHTRA,AMRAVATI COMMR.,2004,21
MAHARASHTRA,AMRAVATI COMMR.,2005,11
MAHARASHTRA,AMRAVATI COMMR.,2006,17
MAHARASHTRA,AMRAVATI COMMR.,2007,18
MAHARASHTRA,AMRAVATI COMMR.,2008,10
MAHARASHTRA,AMRAVATI COMMR.,2009,23
MAHARASHTRA,AMRAVATI COMMR.,2010,31
MAHARASHTRA,AMRAVATI COMMR.,2011,20
MAHARASHTRA,AMRAVATI COMMR.,2012,20
MAHARASHTRA,AMRAVATI RURAL,2001,29
MAHARASHTRA,AMRAVATI RURAL,2002,22
MAHARASHTRA,AMRAVATI RURAL,2003,17
MAHARASHTRA,AMRAVATI RURAL,2004,20
MAHARASHTRA,AMRAVATI RURAL,2005,18
MAHARASHTRA,AMRAVATI RURAL,2006,22
MAHARASHTRA,AMRAVATI RURAL,2007,26
MAHARASHTRA,AMRAVATI RURAL,2008,18
MAHARASHTRA,AMRAVATI RURAL,2009,29
MAHARASHTRA,AMRAVATI RURAL,2010,31
MAHARASHTRA,AMRAVATI RURAL,2011,29
MAHARASHTRA,AMRAVATI RURAL,2012,17
GUJARAT,AMRELI,2001,39
GUJARAT,AMRELI,2002,27
GUJARAT,AMRELI,2003,28
GUJARAT,AMRELI,2004,26
GUJARAT,AMRELI,2005,49
GUJARAT,AMRELI,2006,31
GUJARAT,AMRELI,2007,49
GUJARAT,AMRELI,2008,60
GUJARAT,AMRELI,2009,52
GUJARAT,AMRELI,2010,65
GUJARAT,AMRELI,2011,79
GUJARAT,AMRELI,2012,80
PUNJAB,AMRITSAR,2001,34
PUNJAB,AMRITSAR,2002,32
PUNJAB,AMRITSAR,2003,38
PUNJAB,AMRITSAR,2004,31
PUNJAB,AMRITSAR,2005,20
PUNJAB,AMRITSAR,2006,25
PUNJAB,AMRITSAR,2007,48
PUNJAB,AMRITSAR,2008,54
PUNJAB,AMRITSAR,2009,46
PUNJAB,AMRITSAR,2011,21
PUNJAB,AMRITSAR RURAL,2007,31
PUNJAB,AMRITSAR RURAL,2008,23
PUNJAB,AMRITSAR RURAL,2009,18
PUNJAB,AMRITSAR RURAL,2010,29
PUNJAB,AMRITSAR RURAL,2012,45
GUJARAT,ANAND,2001,30
GUJARAT,ANAND,2002,38
GUJARAT,ANAND,2003,36
GUJARAT,ANAND,2004,41
GUJARAT,ANAND,2005,24
GUJARAT,ANAND,2006,33
GUJARAT,ANAND,2007,59
GUJARAT,ANAND,2008,51
GUJARAT,ANAND,2009,43
GUJARAT,ANAND,2010,45
GUJARAT,ANAND,2011,45
GUJARAT,ANAND,2012,56
ANDHRA PRADESH,ANANTAPUR,2001,53
ANDHRA PRADESH,ANANTAPUR,2002,65
ANDHRA PRADESH,ANANTAPUR,2003,60
ANDHRA PRADESH,ANANTAPUR,2004,51
ANDHRA PRADESH,ANANTAPUR,2005,60
ANDHRA PRADESH,ANANTAPUR,2006,67
ANDHRA PRADESH,ANANTAPUR,2007,87
ANDHRA PRADESH,ANANTAPUR,2008,90
ANDHRA PRADESH,ANANTAPUR,2009,68
ANDHRA PRADESH,ANANTAPUR,2010,81
ANDHRA PRADESH,ANANTAPUR,2011,83
ANDHRA PRADESH,ANANTAPUR,2012,74
JAMMU & KASHMIR,ANANTNAG,2001,59
JAMMU & KASHMIR,ANANTNAG,2002,67
JAMMU & KASHMIR,ANANTNAG,2003,81
JAMMU & KASHMIR,ANANTNAG,2004,60
JAMMU & KASHMIR,ANANTNAG,2005,83
JAMMU & KASHMIR,ANANTNAG,2006,88
JAMMU & KASHMIR,ANANTNAG,2007,65
JAMMU & KASHMIR,ANANTNAG,2008,74
JAMMU & KASHMIR,ANANTNAG,2009,81
JAMMU & KASHMIR,ANANTNAG,2010,75
JAMMU & KASHMIR,ANANTNAG,2011,112
JAMMU & KASHMIR,ANANTNAG,2012,96
A & N ISLANDS,ANDAMAN,2001,2
A & N ISLANDS,ANDAMAN,2002,2
A & N ISLANDS,ANDAMAN,2003,2
A & N ISLANDS,ANDAMAN,2004,3
A & N ISLANDS,ANDAMAN,2005,2
A & N ISLANDS,ANDAMAN,2006,5
A & N ISLANDS,ANDAMAN,2008,16
A & N ISLANDS,ANDAMAN,2009,16
A & N ISLANDS,ANDAMAN,2010,10
A & N ISLANDS,ANDAMAN,2011,15
ODISHA,ANGUL,2001,5
ODISHA,ANGUL,2002,15
ODISHA,ANGUL,2003,9
ODISHA,ANGUL,2004,10
ODISHA,ANGUL,2005,15
ODISHA,ANGUL,2006,16
ODISHA,ANGUL,2007,37
ODISHA,ANGUL,2008,49
ODISHA,ANGUL,2009,36
ODISHA,ANGUL,2010,42
ODISHA,ANGUL,2011,44
ODISHA,ANGUL,2012,59
ARUNACHAL PRADESH,ANJAW,2009,0
ARUNACHAL PRADESH,ANJAW,2010,0
ARUNACHAL PRADESH,ANJAW,2011,0
ARUNACHAL PRADESH,ANJAW,2012,1
MADHYA PRADESH,ANUPPUR,2003,1
MADHYA PRADESH,ANUPPUR,2004,4
MADHYA PRADESH,ANUPPUR,2005,7
MADHYA PRADESH,ANUPPUR,2006,9
MADHYA PRADESH,ANUPPUR,2007,6
MADHYA PRADESH,ANUPPUR,2008,4
MADHYA PRADESH,ANUPPUR,2009,7
MADHYA PRADESH,ANUPPUR,2010,6
MADHYA PRADESH,ANUPPUR,2011,7
MADHYA PRADESH,ANUPPUR,2012,8
BIHAR,ARARIA,2001,79
BIHAR,ARARIA,2002,91
BIHAR,ARARIA,2003,56
BIHAR,ARARIA,2004,84
BIHAR,ARARIA,2005,43
BIHAR,ARARIA,2006,104
BIHAR,ARARIA,2007,27
BIHAR,ARARIA,2008,40
BIHAR,ARARIA,2009,56
BIHAR,ARARIA,2010,84
BIHAR,ARARIA,2011,115
BIHAR,ARARIA,2012,122
TAMIL NADU,ARIYALUR,2001,25
TAMIL NADU,ARIYALUR,2009,19
TAMIL NADU,ARIYALUR,2010,26
TAMIL NADU,ARIYALUR,2011,19
TAMIL NADU,ARIYALUR,2012,47
BIHAR,ARWAL,2001,13
BIHAR,ARWAL,2002,11
BIHAR,ARWAL,2003,9
BIHAR,ARWAL,2004,9
BIHAR,ARWAL,2005,9
BIHAR,ARWAL,2006,9
BIHAR,ARWAL,2007,4
BIHAR,ARWAL,2008,12
BIHAR,ARWAL,2009,16
BIHAR,ARWAL,2010,13
BIHAR,ARWAL,2011,17
BIHAR,ARWAL,2012,26
WEST BENGAL,ASANSOL,2001,3
WEST BENGAL,ASANSOL,2002,3
WEST BENGAL,ASANSOL,2003,11
WEST BENGAL,ASANSOL,2004,10
WEST BENGAL,ASANSOL,2005,14
WEST BENGAL,ASANSOL,2006,16
WEST BENGAL,ASANSOL,2007,18
WEST BENGAL,ASANSOL,2008,18
WEST BENGAL,ASANSOL,2009,27
WEST BENGAL,ASANSOL,2010,21
WEST BENGAL,ASANSOL,2011,64
WEST BENGAL,ASANSOL,2012,77
MADHYA PRADESH,ASHOK NAGAR,2003,5
MADHYA PRADESH,ASHOK NAGAR,2004,3
MADHYA PRADESH,ASHOK NAGAR,2005,7
MADHYA PRADESH,ASHOK NAGAR,2006,8
MADHYA PRADESH,ASHOK NAGAR,2007,11
MADHYA PRADESH,ASHOK NAGAR,2008,3
MADHYA PRADESH,ASHOK NAGAR,2009,6
MADHYA PRADESH,ASHOK NAGAR,2010,9
MADHYA PRADESH,ASHOK NAGAR,2011,7
MADHYA PRADESH,ASHOK NAGAR,2012,6
UTTAR PRADESH,AURAIYA,2001,61
UTTAR PRADESH,AURAIYA,2002,41
UTTAR PRADESH,AURAIYA,2003,24
UTTAR PRADESH,AURAIYA,2004,45
UTTAR PRADESH,AURAIYA,2005,36
UTTAR PRADESH,AURAIYA,2006,42
UTTAR PRADESH,AURAIYA,2007,34
UTTAR PRADESH,AURAIYA,2008,29
UTTAR PRADESH,AURAIYA,2009,44
UTTAR PRADESH,AURAIYA,2010,50
UTTAR PRADESH,AURAIYA,2011,76
UTTAR PRADESH,AURAIYA,2012,102
BIHAR,AURANGABAD,2001,24
BIHAR,AURANGABAD,2002,19
BIHAR,AURANGABAD,2003,26
BIHAR,AURANGABAD,2004,31
BIHAR,AURANGABAD,2005,33
BIHAR,AURANGABAD,2006,42
BIHAR,AURANGABAD,2007,35
BIHAR,AURANGABAD,2008,56
BIHAR,AURANGABAD,2009,54
BIHAR,AURANGABAD,2010,58
BIHAR,AURANGABAD,2011,62
BIHAR,AURANGABAD,2012,71
MAHARASHTRA,AURANGABAD COMMR.,2001,19
MAHARASHTRA,AURANGABAD COMMR.,2002,20
MAHARASHTRA,AURANGABAD COMMR.,2003,19
MAHARASHTRA,AURANGABAD COMMR.,2004,15
MAHARASHTRA,AURANGABAD COMMR.,2005,12
MAHARASHTRA,AURANGABAD COMMR.,2006,22
MAHARASHTRA,AURANGABAD COMMR.,2007,29
MAHARASHTRA,AURANGABAD COMMR.,2008,38
MAHARASHTRA,AURANGABAD COMMR.,2009,28
MAHARASHTRA,AURANGABAD COMMR.,2010,40
