STATE/UT,DISTRICT,YEAR,RAPE
WEST BENGAL,24 PARGANAS NORTH,2001,53
WEST BENGAL,24 PARGANAS NORTH,2002,88
WEST BENGAL,24 PARGANAS NORTH,2003,92
WEST BENGAL,24 PARGANAS NORTH,2004,176
WEST BENGAL,24 PARGANAS NORTH,2005,217
WEST BENGAL,24 PARGANAS NORTH,2006,174
WEST BENGAL,24 PARGANAS NORTH,2007,231
WEST BENGAL,24 PARGANAS NORTH,2008,192
WEST BENGAL,24 PARGANAS NORTH,2009,166
WEST BENGAL,24 PARGANAS NORTH,2010,173
WEST BENGAL,24 PARGANAS NORTH,2011,203
WEST BENGAL,24 PARGANAS NORTH,2012,118
WEST BENGAL,24 PARGANAS SOUTH,2001,47
WEST BENGAL,24 PARGANAS SOUTH,2002,68
WEST BENGAL,24 PARGANAS SOUTH,2003,89
WEST BENGAL,24 PARGANAS SOUTH,2004,122
WEST BENGAL,24 PARGANAS SOUTH,2005,136
WEST BENGAL,24 PARGANAS SOUTH,2006,190
WEST BENGAL,24 PARGANAS SOUTH,2007,205
WEST BENGAL,24 PARGANAS SOUTH,2008,308
WEST BENGAL,24 PARGANAS SOUTH,2009,280
WEST BENGAL,24 PARGANAS SOUTH,2010,258
WEST BENGAL,24 PARGANAS SOUTH,2011,274
WEST BENGAL,24 PARGANAS SOUTH,2012,244
A & N ISLANDS,A and N ISLANDS,2007,3
ANDHRA PRADESH,ADILABAD,2001,50
ANDHRA PRADESH,ADILABAD,2002,37
ANDHRA PRADESH,ADILABAD,2003,35
ANDHRA PRADESH,ADILABAD,2004,50
ANDHRA PRADESH,ADILABAD,2005,53
ANDHRA PRADESH,ADILABAD,2006,64
ANDHRA PRADESH,ADILABAD,2007,46
ANDHRA PRADESH,ADILABAD,2008,50
ANDHRA PRADESH,ADILABAD,2009,67
ANDHRA PRADESH,ADILABAD,2010,48
ANDHRA PRADESH,ADILABAD,2011,84
ANDHRA PRADESH,ADILABAD,2012,88
UTTAR PRADESH,AGRA,2001,66
UTTAR PRADESH,AGRA,2002,41
UTTAR PRADESH,AGRA,2003,27
UTTAR PRADESH,AGRA,2004,32
UTTAR PRADESH,AGRA,2005,29
