STATE/UT,DISTRICT,YEAR,THEFT
WEST BENGAL,24 PARGANAS NORTH,2011,2918
WEST BENGAL,24 PARGANAS NORTH,2010,2312
WEST BENGAL,24 PARGANAS NORTH,2004,2196
WEST BENGAL,24 PARGANAS NORTH,2003,1988
WEST BENGAL,24 PARGANAS NORTH,2009,1959
WEST BENGAL,24 PARGANAS NORTH,2002,1842
WEST BENGAL,24 PARGANAS NORTH,2001,1679
WEST BENGAL,24 PARGANAS NORTH,2005,1564
WEST BENGAL,24 PARGANAS NORTH,2012,1453
WEST BENGAL,24 PARGANAS NORTH,2008,1452
WEST BENGAL,24 PARGANAS NORTH,2006,1440
WEST BENGAL,24 PARGANAS NORTH,2007,1183
WEST BENGAL,24 PARGANAS SOUTH,2010,2732
WEST BENGAL,24 PARGANAS SOUTH,2011,2288
WEST BENGAL,24 PARGANAS SOUTH,2009,1982
WEST BENGAL,24 PARGANAS SOUTH,2008,1773
WEST BENGAL,24 PARGANAS SOUTH,2004,1597
WEST BENGAL,24 PARGANAS SOUTH,2007,1440
WEST BENGAL,24 PARGANAS SOUTH,2012,1279
WEST BENGAL,24 PARGANAS SOUTH,2001,1143
WEST BENGAL,24 PARGANAS SOUTH,2005,1071
WEST BENGAL,24 PARGANAS SOUTH,2002,1068
WEST BENGAL,24 PARGANAS SOUTH,2003,1034
WEST BENGAL,24 PARGANAS SOUTH,2006,1019
A & N ISLANDS,A and N ISLANDS,2007,112
ANDHRA PRADESH,ADILABAD,2007,481
ANDHRA PRADESH,ADILABAD,2008,427
ANDHRA PRADESH,ADILABAD,2006,390
ANDHRA PRADESH,ADILABAD,2012,373
ANDHRA PRADESH,ADILABAD,2009,351
ANDHRA PRADESH,ADILABAD,2011,346
ANDHRA PRADESH,ADILABAD,2005,329
ANDHRA PRADESH,ADILABAD,2010,302
ANDHRA PRADESH,ADILABAD,2003,284
ANDHRA PRADESH,ADILABAD,2004,256
ANDHRA PRADESH,ADILABAD,2002,226
ANDHRA PRADESH,ADILABAD,2001,199
UTTAR PRADESH,AGRA,2011,3706
UTTAR PRADESH,AGRA,2012,3472
UTTAR PRADESH,AGRA,2010,1840
UTTAR PRADESH,AGRA,2008,1826
UTTAR PRADESH,AGRA,2009,1770
UTTAR PRADESH,AGRA,2006,1524
UTTAR PRADESH,AGRA,2007,1483
UTTAR PRADESH,AGRA,2001,1181
UTTAR PRADESH,AGRA,2005,1087
UTTAR PRADESH,AGRA,2002,1059
UTTAR PRADESH,AGRA,2004,1053
UTTAR PRADESH,AGRA,2003,724
GUJARAT,AHMEDABAD COMMR.,2009,6283
GUJARAT,AHMEDABAD COMMR.,2004,5711
GUJARAT,AHMEDABAD COMMR.,2008,5485
GUJARAT,AHMEDABAD COMMR.,2006,5388
GUJARAT,AHMEDABAD COMMR.,2003,5377
GUJARAT,AHMEDABAD COMMR.,2005,5359
GUJARAT,AHMEDABAD COMMR.,2010,4659
GUJARAT,AHMEDABAD COMMR.,2007,4302
GUJARAT,AHMEDABAD COMMR.,2002,4007
GUJARAT,AHMEDABAD COMMR.,2011,3874
GUJARAT,AHMEDABAD COMMR.,2012,3622
GUJARAT,AHMEDABAD COMMR.,2001,3588
GUJARAT,AHMEDABAD RURAL,2007,434
GUJARAT,AHMEDABAD RURAL,2009,382
GUJARAT,AHMEDABAD RURAL,2008,354
GUJARAT,AHMEDABAD RURAL,2012,324
GUJARAT,AHMEDABAD RURAL,2011,319
GUJARAT,AHMEDABAD RURAL,2010,303
GUJARAT,AHMEDABAD RURAL,2006,273
GUJARAT,AHMEDABAD RURAL,2004,252
GUJARAT,AHMEDABAD RURAL,2003,249
GUJARAT,AHMEDABAD RURAL,2005,242
GUJARAT,AHMEDABAD RURAL,2002,235
GUJARAT,AHMEDABAD RURAL,2001,225
MAHARASHTRA,AHMEDNAGAR,2011,1622
MAHARASHTRA,AHMEDNAGAR,2010,1517
MAHARASHTRA,AHMEDNAGAR,2008,1472
MAHARASHTRA,AHMEDNAGAR,2009,1399
MAHARASHTRA,AHMEDNAGAR,2012,1374
MAHARASHTRA,AHMEDNAGAR,2007,1344
MAHARASHTRA,AHMEDNAGAR,2006,1341
MAHARASHTRA,AHMEDNAGAR,2005,1025
MAHARASHTRA,AHMEDNAGAR,2004,969
MAHARASHTRA,AHMEDNAGAR,2002,841
MAHARASHTRA,AHMEDNAGAR,2003,786
MAHARASHTRA,AHMEDNAGAR,2001,715
GUJARAT,AHWA-DANG,2006,16
GUJARAT,AHWA-DANG,2008,13
GUJARAT,AHWA-DANG,2011,13
GUJARAT,AHWA-DANG,2002,12
GUJARAT,AHWA-DANG,2007,11
GUJARAT,AHWA-DANG,2012,10
GUJARAT,AHWA-DANG,2001,8
GUJARAT,AHWA-DANG,2010,6
GUJARAT,AHWA-DANG,2003,5
GUJARAT,AHWA-DANG,2004,5
GUJARAT,AHWA-DANG,2005,3
GUJARAT,AHWA-DANG,2009,2
MIZORAM,AIZAWL,2003,709
MIZORAM,AIZAWL,2001,562
MIZORAM,AIZAWL,2002,542
MIZORAM,AIZAWL,2007,464
MIZORAM,AIZAWL,2010,453
MIZORAM,AIZAWL,2009,408
MIZORAM,AIZAWL,2006,407
MIZORAM,AIZAWL,2011,395
MIZORAM,AIZAWL,2008,393
MIZORAM,AIZAWL,2004,350
MIZORAM,AIZAWL,2012,288
MIZORAM,AIZAWL,2005,230
RAJASTHAN,AJMER,2006,893
RAJASTHAN,AJMER,2007,867
RAJASTHAN,AJMER,2005,859
RAJASTHAN,AJMER,2004,817
RAJASTHAN,AJMER,2001,748
RAJASTHAN,AJMER,2002,737
RAJASTHAN,AJMER,2003,736
RAJASTHAN,AJMER,2008,701
RAJASTHAN,AJMER,2009,694
RAJASTHAN,AJMER,2010,656
RAJASTHAN,AJMER,2012,630
RAJASTHAN,AJMER,2011,616
MAHARASHTRA,AKOLA,2005,1225
MAHARASHTRA,AKOLA,2010,1053
MAHARASHTRA,AKOLA,2008,1002
MAHARASHTRA,AKOLA,2006,995
MAHARASHTRA,AKOLA,2004,957
MAHARASHTRA,AKOLA,2009,943
MAHARASHTRA,AKOLA,2007,898
MAHARASHTRA,AKOLA,2011,821
MAHARASHTRA,AKOLA,2001,735
MAHARASHTRA,AKOLA,2002,729
